,flux,z,f,enz,met_concentration,reaction,gpr
PTAr,4.629715816552562,1.0,-1.093190441495791,0.0003048045592892046,;pi_c : 4.999999992620972e-07;actp_c : 4.999999992621096e-07;accoa_c : 1.252585455320618e-05;coa_c : 4.999999992621096e-07,accoa_c + pi_c --> actp_c + coa_c,b2297 or b2458
ACKr_reverse,4.629715816552562,1.0,-6.714747837822944,3.031727963359444e-05,;ac_c : 0.0001370065602637059;adp_c : 7.534877424624987e-07;actp_c : 4.999999992621096e-07;atp_c : 7.534877424624995e-06,actp_c + adp_c --> ac_c + atp_c,b1849 or b2296 or b3115
ACONT,3.4364625059160567,1.0,9.48638088299128,0.0009707521321068922,;icit_c : 4.999999992621096e-07;cit_c : 0.0004944628415964518,cit_c --> icit_c,
ICDHyr,3.4364625059160567,1.0,11.415100864556367,0.0008210170422499278,;akg_c : 4.999999992621096e-07;nadp_c : 0.0020000000008562916;co2_c : 9.999999999761782e-05;nadph_c : 0.02000000000856292;icit_c : 4.999999992621096e-07,icit_c + nadp_c --> akg_c + co2_c + nadph_c,b1136
CS,3.4364625059160567,1.0,37.48229777139089,0.0015804765058344177,;oaa_c : 1.9602673519602628e-05;h_c : 1.0;h2o_c : 1.0;cit_c : 0.0004944628415964518;accoa_c : 1.252585455320618e-05;coa_c : 4.999999992621096e-07,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,b0720
FUM,3.4123455743772992,1.0,-9.486380882991375,8.322974611196382e-05,;h2o_c : 1.0;mal__L_c : 0.0021171180687909433;fum_c : 1.4312783367458618e-05,fum_c + h2o_c --> mal__L_c,b4122 or b1612 or b1611
MDH,3.4123455743772992,1.0,-9.486380882991508,5.924211066627256e-05,;oaa_c : 1.9602673519602628e-05;h_c : 1.0;mal__L_c : 0.0021171180687909433;nadh_c : 0.0008939540152529535;nad_c : 0.008939540152529537,mal__L_c + nad_c --> h_c + nadh_c + oaa_c,b3236
GND,3.296553052651745,1.0,27.85744096313005,0.0021428135948739543,;nadp_c : 0.0020000000008562916;6pgc_c : 0.02000000000856292;co2_c : 9.999999999761782e-05;ru5p__D_c : 5.295354334494958e-06;nadph_c : 0.02000000000856292,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,b2029
G6PDH2r,3.296553052651745,1.0,2.529999999999996,0.0003290905194575005,;h_c : 1.0;nadp_c : 0.0020000000008562916;g6p_c : 5.2782026485528984e-05;nadph_c : 0.02000000000856292;6pgl_c : 1.4862936435727944e-05,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,b1852
PGL,3.296553052651745,1.0,5.219292946594855,0.00018069131886192487,;h_c : 1.0;h2o_c : 1.0;6pgc_c : 0.02000000000856292;6pgl_c : 1.4862936435727944e-05,6pgl_c + h2o_c --> 6pgc_c + h_c,b0767
PYK,3.009226294165336,1.0,38.13439481115107,0.0001696180492818273,;h_c : 1.0;pyr_c : 4.999999992621096e-07;pep_c : 0.0007832781405536207;atp_c : 7.534877424624995e-06;adp_c : 7.534877424624987e-07,adp_c + h_c + pep_c --> atp_c + pyr_c,b1854 or b1676
SUCDi,2.882297845109792,1.0,12.949259624936632,0.0008903350446735377,;q8h2_c : 4.999999992621096e-07;fum_c : 1.4312783367458618e-05;q8_c : 4.999999992621096e-07;succ_c : 4.999999992621096e-07,q8_c + succ_c --> fum_c + q8h2_c,b0723 and b0721 and b0722 and b0724
AKGDH,2.636143621512419,1.0,19.474006462759647,0.0019503713623726467,;co2_c : 9.999999999761782e-05;coa_c : 4.999999992621096e-07;nad_c : 0.008939540152529537;akg_c : 4.999999992621096e-07;nadh_c : 0.0008939540152529535;succoa_c : 4.999999992621096e-07,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,b0116 and b0727 and b0726
PPA,2.606888451957112,1.0,54.37151506914455,0.00016933023933875046,;pi_c : 4.999999992620972e-07;h2o_c : 1.0;ppi_c : 6.697121669409311e-07;h_c : 1.0,h2o_c + ppi_c --> h_c + 2.0 pi_c,b2502 or b2744 or b4226
SUCOAS_reverse,2.2453912713111026,1.0,-7.138366954831711,0.0004416935359535974,;pi_c : 4.999999992620972e-07;coa_c : 4.999999992621096e-07;atp_c : 7.534877424624995e-06;succ_c : 4.999999992621096e-07;adp_c : 7.534877424624987e-07;succoa_c : 4.999999992621096e-07,adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c,b0729 and b0728
PPC,2.2034412169610187,1.0,62.37525316217686,0.00022456649994065413,;oaa_c : 1.9602673519602628e-05;h_c : 1.0;h2o_c : 1.0;co2_c : 9.999999999761782e-05;pep_c : 0.0007832781405536207;pi_c : 4.999999992620972e-07,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,b3956
