,flux,z,f,enz,met_concentration,reaction,gpr
PDX5PO2,0.0001588624050402218,1.0,2.667086936396643,-9999.0,;pdx5p_c : 0.02000000000856292;pydx5p_c : 1.1560630869690604e-05;nadh_c : 4.999999992621078e-07;nad_c : 4.999999992621083e-06;h_c : 1.0,nad_c + pdx5p_c --> h_c + nadh_c + pydx5p_c,
ICYSDS,0.0001588624050402218,1.0,-9999.0,0.00019897296764104472,;cys__L_c : 0.0008242299798257116;ala__L_c : 1.406364885409617e-06;iscs_c : 4.999999992621096e-07;iscssh_c : 4.999999992621096e-07,cys__L_c + iscs_c --> ala__L_c + iscssh_c,b2530
SHCHD2,0.0001588624050402218,1.0,-9999.0,6.483169481597595e-06,;scl_c : 4.999999992621096e-07;dscl_c : 4.999999992621096e-07;nadh_c : 4.999999992621078e-07;nad_c : 4.999999992621083e-06;h_c : 1.0,dscl_c + nad_c --> h_c + nadh_c + scl_c,b3368
UPP3MT,0.0001588624050402218,1.0,-9999.0,8.392463711278062e-07,;uppg3_c : 4.999999992621096e-07;amet_c : 0.02000000000856292;h_c : 1.0;ahcys_c : 0.02000000000856292;dscl_c : 4.999999992621096e-07,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + dscl_c + h_c,b3368
OCTDPS,0.0001588624050402218,1.0,493.61010196749123,5.180238327144928e-06,;ipdp_c : 0.02000000000856292;octdp_c : 4.999999992621096e-07;ppi_c : 2.1045792182462608e-06;frdp_c : 4.999999992621096e-07,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c,b3187
PMPK,0.0001588624050402218,1.0,29.99580791796153,2.5271125200291523e-06,;4ampm_c : 0.02000000000856292;adp_c : 4.999999992621078e-07;2mahmp_c : 6.6433934256965186e-06;atp_c : 4.999999992621083e-06,4ampm_c + atp_c --> 2mahmp_c + adp_c,b2103
CHRPL,0.0001588624050402218,1.0,116.5178273114599,3.6025887503379345e-06,;pyr_c : 1.638846781070466e-05;chor_c : 4.999999992621096e-07;4hbz_c : 4.999999992621096e-07,chor_c --> 4hbz_c + pyr_c,b4039 or b1096
THZPSN3,0.0001588624050402218,1.0,-9999.0,3.3231166379384063e-06,;dhgly_c : 4.999999992621096e-07;ppi_c : 2.1045792182462608e-06;co2_c : 3.5532535700738193e-07;atp_c : 4.999999992621083e-06;4mpetz_c : 0.02000000000856292;iscssh_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292;nadp_c : 0.0020000000008562916;h2o_c : 1.0;amp_c : 4.999999992621078e-07;iscs_c : 4.999999992621096e-07;dxyl5p_c : 2.207799953516179e-05;h_c : 1.0,atp_c + dhgly_c + dxyl5p_c + h_c + iscssh_c + nadph_c --> 4mpetz_c + amp_c + co2_c + 2.0 h2o_c + iscs_c + nadp_c + ppi_c,b3992 and b3990 and b0423 and b2530 and b4407
OPHHX3,0.0001588624050402218,1.0,74.61259535846685,-9999.0,;pi_c : 0.012512120276271058;nadh_c : 4.999999992621078e-07;atp_c : 4.999999992621083e-06;2ohph_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07;h_c : 1.0;h2o_c : 1.0;nad_c : 4.999999992621083e-06;2oph_c : 4.999999992621096e-07,2oph_c + 2.0 atp_c + 3.0 h2o_c + nad_c --> 2ohph_c + 2.0 adp_c + 3.0 h_c + nadh_c + 2.0 pi_c,
4HTHRA_reverse,0.0001588624050402218,1.0,13.87294542593338,3.515422803104052e-07,;4hthr_c : 4.999999992621096e-07;gly_c : 0.0025950258419676514;gcald_c : 0.02000000000856292,gcald_c + gly_c --> 4hthr_c,b0870
