,max_E,min_E
ACOAD2f_reverse,1.8442158897827527e-05,1.844215889738675e-05
ACOAD3f_reverse,1.8442158897891234e-05,1.8442143616050564e-05
ACOAD7f_reverse,1.8395629450171543e-05,1.8394761854401814e-05
RBFK,1.7798075037809006e-05,1.7794896283445864e-05
A5PISO,1.7745672706298157e-05,1.7744462862240643e-05
UGMDDS,1.7038149933056424e-05,1.7038149927677605e-05
FMNAT,1.779489630901403e-05,1.779489628344831e-05
RPE,1.7001524983219357e-05,1.7001493710805703e-05
AOXSr2,1.7200456125772956e-05,1.7200456125739543e-05
HPPK2,1.562968664750332e-05,1.562968664747398e-05
GTPCII2,1.6780472337243677e-05,1.67803587767694e-05
KDOPP,1.6088862120313773e-05,1.608885401970617e-05
GRXR,1.4892381485856916e-05,1.4892381327135466e-05
GRTT,1.54045399981788e-05,1.5404539654900946e-05
DMATT,1.54045399981788e-05,1.5404539654900946e-05
RNDR4b,1.4133847223134921e-05,1.4132852433395184e-05
TPI,1.3566092230766004e-05,1.3566092040115813e-05
ACGS,1.3196198723560558e-05,1.3196198721581557e-05
UAGPT3,1.2780374142824342e-05,1.2780374138397306e-05
UHGADA,1.3009303449955188e-05,1.3009303449367385e-05
DB4PS,1.2668128362657793e-05,1.266812835370954e-05
APRAUR,1.1624572977379267e-05,1.162457296896496e-05
CDPMEK,1.1750670875308857e-05,1.175067087528797e-05
GLUTRR,1.2703612692829743e-05,1.270361268754917e-05
GLUR_reverse,8.48207771056617e-06,8.482077710754152e-06
MECDPDH5,1.1107630482896743e-05,1.1107630237341882e-05
DHPPDA2,1.1624572977379267e-05,1.162457296896496e-05
UAMAGS,9.306527762163507e-06,9.306527759224274e-06
ALAR,1.0574853944003758e-05,1.0574853780838e-05
PSP_L,8.414945275275375e-06,8.414945273715227e-06
BTS5,7.991043886862035e-06,7.99104370293918e-06
U23GAAT,8.054197937277442e-06,8.054197936913248e-06
SDPDS,7.39560734230367e-06,7.395523488065043e-06
DTMPK,7.14838333257329e-06,7.148383332533934e-06
RPI_reverse,7.0020617246886775e-06,7.002006817987487e-06
