,kcat,MW,kcat_MW
RMPA,25917.542,30.14550002,859.748287
RMPA_reverse,10127.96802,30.1455,335.969482
RNDR1,9882.90527,141.0991996,70.042249
RNDR1b,22837.66644,126.0597,181.165483
RNDR2,10997.84578,141.0992,77.944069
RNDR2b,27735.00971,126.0596997,220.01488
RNDR3,12566.47479,141.0991999,89.061276
RNDR3b,19613.29221,126.0596996,155.587331
RNDR4,10859.48639,141.0991993,76.963487
RNDR4b,173713.9787,126.0597,1378.029447
RNTR1c2,49229.87641,99.72269993,493.667705
RNTR2c2,30111.14447,99.72269986,301.948749
RNTR3c2,34677.14107,99.72269993,347.735682
RNTR4c2,16403.76147,99.72269993,164.493756
RPNTPH,863642.4721,42.01,20558.02124
RU5PP,9743.191204,23.00700001,423.488121
RZ5PP,14207.16538,23.30850002,609.527227
S2FE2SR,21311.91823,189.3844998,112.532537
S2FE2SS,9300.815543,189.384499,49.110754
S2FE2SS2,25109.73651,189.3844998,132.586017
S2FE2ST,9301.245664,142.4505996,65.294535
S4FE4SR,74931.37607,129.1504001,580.186945
S4FE4ST,45270.43078,142.4506001,317.797403
S7PI,32534.6772,20.8148,1563.054999
SADH,62717.07204,49.29859999,1272.18769
SADT2,102441.8063,87.74680003,1167.470566
SARCOX,18240.21953,40.90199999,445.949331
SBTPD,16357.75901,27.8579,587.185646
SBTPD_reverse,43431.09995,27.8579,1559.022753
SCYSDS,30061.01064,60.23409995,499.069641
SDPDS,1540800,41.269,37335.5303
SDPTA,17299.46712,39.78329999,434.842437
SDPTA_reverse,27000,39.78330001,678.676731
SELNPS,91807.86884,36.68729999,2502.442776
SELR,13273.52372,233.0424988,56.957524
SEPHCHCS,24093.61572,61.36709996,392.61454
SERASr,58615.06414,141.9909999,412.808306
SERASr_reverse,133230.4814,141.9909999,938.302297
SERAT,136800,29.3166,4666.298275
SERAT_reverse,56837.93429,29.3166,1938.762827
SERD_D,27507.13332,47.90059998,574.254463
SERD_L,78829.0727,35.232,2237.428267
SFGTHi,65737.54739,31.2593,2102.975671
SGDS,76498.5343,35.80019999,2136.81863
SGSAD,28118.21406,53.02630002,530.269207
SHCHCS3,47273.15239,27.68239999,1707.697035
SHCHD2,1224,49.95139941,24.503818
SHCHF,1224,49.95139941,24.503818
SHGO,22357.77247,46.08200002,485.173657
SHK3Dr,46104.63948,29.4136,1567.459933
SHK3Dr_reverse,29504.42482,29.41360001,1003.087851
SHKK,61262.15929,19.1508,3198.934733
SHSL1,36000,41.55039999,866.417652
SOTA,24429.86623,43.66539997,559.478815
SPMDAT1,32401.65086,21.88700001,1480.406216
SPMDAT2,18678.29696,21.88699999,853.396855
SPMS,20729.78166,32.32140002,641.363977
SPODM,43146.08622,21.2658,2028.895514
SPODMpp,10789.89295,17.68100001,610.253546
SQGH,31386.49569,77.27500009,406.166233
SQVOSI,53182.41289,47.433,1121.211243
SSALx,21752.97002,49.7179,437.527933
SSALy,30829.92795,49.71790001,620.097147
SUCBZL,16127.31824,50.18469995,321.359264
SUCBZS,25537.98661,35.4766,719.8544
SUCDi,383163.8026,118.3584,3237.318201
SULR,71599.20646,130.268,549.630043
T2DECAI,9300.050359,18.969,490.276259
T2DECAI_reverse,17543.29767,18.96900001,924.840406
TAGURr,28666.34973,54.80829998,523.029354
TAGURr_reverse,48756.38965,54.80829999,889.580404
TALA,49937.71597,35.21920001,1417.911706
TALA_reverse,17007.88862,35.21919998,482.915246
TARTD,40271.4679,55.413,726.751266
TAUDO,9422.360968,32.40949997,290.728366
TDP,157841.5063,17.4329,9054.231155
TDPADGAT,27137.47252,24.2204,1120.43866
TDPAGTA,14344.14992,41.90099999,342.33431
TDPDRE,18583.91096,21.2701,873.710559
TDPDRR,14288.31244,32.69410002,437.030303
TDPGDH,24678.10401,39.75379999,620.773461
TDSK,26884.71438,35.58930001,755.415655
TEO2M,30564.75775,22.531,1356.564633
TGBPA,31362.76788,77.92060009,402.496488
TGBPA_reverse,11962.53261,77.92060015,153.52208
THD2pp,2171332.143,103.3465,21010.2146
THDPS,8640,29.8921,289.039579
THFAT,30546.82446,45.31660003,674.075823
