reaction	g0
PUNP2_reverse	-11
PUNP3	11
PUNP3_reverse	-11
PUNP4	11
PUNP4_reverse	-11
PUNP5	8.7
PUNP5_reverse	-8.7
PUNP6	9.5
PUNP6_reverse	-9.5
PUNP7	10.4
PUNP7_reverse	-10.4
PYAM5PO	-97.2
PYDAMK	-15.4
PYDXK	-17
PYDXNK	-11.5
PYDXPP	-11.6
PYK	-25.1
PYK2	-27.7
PYK3	-27.6
PYK4	-25.6
PYK6	-22.5
PYNP2r	1.6
PYNP2r_reverse	-1.6
PYROX	-154.6
QUINDH	16.6
QUINDHyi	14.8
QULNS	-227.2
R15BPK	9.4
R1PK	-22.8
R5PP	-1.41
RBFK	2
RBFSa	-84.1
RBFSb	-159.9
RBK	-25
RBK_L1	-14.7
RBP4E	-0.5
RBP4E_reverse	0.5
RHCCE	-12.1
RHMND	-41.9
RHMND_reverse	41.9
RMI	0.2
RMI_reverse	-0.2
RMK	-4.8
RMPA	6.4
RMPA_reverse	-6.4
RNDR1	-44.7
RNDR1b	-44.7
RNDR2	-38.7
RNDR2b	-38.7
RNDR3	-40.7
RNDR3b	-40.7
RNDR4	-39.8
RNDR4b	-39.8
RNTR1c2	-68.9
RNTR2c2	-41.6
RNTR3c2	-63.3
RNTR4c2	-63.1
RPE	-3.4
RPE_reverse	3.4
RPI	1.93
RPI_reverse	-1.93
RPNTPH	-42.7
RU5PP	-0.3
RZ5PP	-13.9
S7PI	1.5
SADH	-82.1
SADT2	23.5
SARCOX	-77
SBTPD	12.7
SBTPD_reverse	-12.7
SDPDS	8
SDPTA	0.8
SDPTA_reverse	-0.8
SEPHCHCS	31.7
SERASr	-11.6
SERASr_reverse	11.6
SERAT	-6.9
SERAT_reverse	6.9
SERD_D	-27.7
SERD_L	-28.6
SFGTHi	-17
SGDS	-2.6
SGSAD	-45.1
SHCHCS3	-129
SHGO	-101
SHK3Dr	-77.3
SHK3Dr_reverse	77.3
SHKK	-7.8
SHSL1	-63
SOTA	-1.4
SPMDAT1	-18.8
SPMDAT2	-18.7
SSALx	-38.6
SSALy	-37.6
SUCBZL	-14.9
SUCBZS	-12.7
SUCDi	-21.6
SUCOAS	-1.2
SUCOAS_reverse	1.2
SULR	-118.7
TAGURr	11.6
TAGURr_reverse	-11.6
TALA	-0.7
TALA_reverse	0.7
TARTD	-35.3
TDPAGTA	13.9
TDPDRE	-12.3
TDPDRR	-4.4
TDPGDH	-46.2
TDSK	-12.1
TGBPA	18.1
TGBPA_reverse	-18.1
THDPS	20.2
THIORDXi	-315
THRA	9.9
THRA2	-2.5
THRD	26.9
THRD_L	-24.8
THRS	-28.2
TKT1	-3.8
TKT1_reverse	3.8
TKT2	-10.1
TKT2_reverse	10.1
TMAOR1	-198
TMAOR2	-195.3
TMDK1	-17.7
TMDPP	5.4
TMDPP_reverse	-5.4
TMDS	-44.5
TMK	-19.8
TMPPP	-4.3
TPI	5.5
TPI_reverse	-5.5
TPRDCOAS	-0.3
TRDR	-8.9
TRE6PH	-9.7
TRE6PP	-6.8
TRE6PS	-17.7
TREH	-11.7
TRPAS2	21.1
TRPAS2_reverse	-21.1
TRPS1	-30.5
TRPS2	-49.7
TRPS3	19.2
TRSARr	-30.4
TRSARr_reverse	30.4
TYRTA	0
TYRTA_reverse	0
UAAGDS	-24.1
UACMAMO	-25.9
UAG2E	0
UAG2E_reverse	0
UAGCVT	-12.1
UAGDP	-3.54
UAGPT3	-13.7
UAMAGS	-29.1
UAMAS	-28.5
UAPGR	-58.9
UDCPDP	-26.8
UDCPDPS	-583
UDPG4E	2.9
UDPG4E_reverse	-2.9
UDPGALM	4.8
UDPGD	-21.7
UDPGDC	-3.6
UDPGPT	6.5
UDPGPT_reverse	-6.5
UDPKAAT	26.2
UDPKAAT_reverse	-26.2
UGCIAMH	-34.9
UGLT	-2.9
UGLT_reverse	2.9
UGLYCH	-19.4
UGMDDS	-28.4
UHGADA	-7.4
ULA4NFT	1.7
UM4PCP	-0.07
UMPK	-4.6
UMPK_reverse	4.6
UPPDC1	-30.4
UPPRT	-17.3
URDGLYCD	-13.2
URIC	-86.3
URIH	-11.2
URIK1	-19.4
URIK2	-16.9
USHD	-31.5
VALTA	3.1
VALTA_reverse	-3.1
VPAMTr	-3.4
VPAMTr_reverse	3.4
X5PL3E	-0.8
XAND	-24.7
XPPT	-23.5
XTSNH	-2.3
XYHDL	3.6
XYLI1	3.7
XYLI1_reverse	-3.7
XYLI2	-0.1
XYLI2_reverse	0.1
XYLK	-25.7
XYLK2	-23.9
YUMPS	-37.1
YUMPS_reverse	37.1
