,flux,z,f,enz,met_concentration,reaction,gpr
HACD2,0.25174268519850784,1.0,0.19035302673316323,0.00026109189716054017,;3ohcoa_c : 4.999999992621096e-07;3hhcoa_c : 0.0002094683955967488;nadh_c : 0.0007084583731630467;h_c : 1.0;nad_c : 0.007084583731630468,3ohcoa_c + h_c + nadh_c --> 3hhcoa_c + nad_c,b3846 or b2341
ECOAH5,0.25174268519850784,1.0,14.571280018435138,0.0002990946201393178,;dd2coa_c : 4.999999992621096e-07;h2o_c : 1.0;3hddcoa_c : 0.00018646596236335063,3hddcoa_c --> dd2coa_c + h2o_c,b2341 or b3846
HACD3,0.25174268519850784,1.0,23.81907400829822,0.0002550671293068541,;3hocoa_c : 0.00018646596236335063;3oocoa_c : 0.02000000000856292;nadh_c : 0.0007084583731630467;h_c : 1.0;nad_c : 0.007084583731630468,3oocoa_c + h_c + nadh_c --> 3hocoa_c + nad_c,b3846 or b2341
ACOAD5f_reverse,0.25174268519850784,1.0,21.771279018434996,0.00034558733722351426,;fadh2_c : 4.999999992621096e-07;dd2coa_c : 4.999999992621096e-07;fad_c : 0.02000000000856292;ddcacoa_c : 4.999999992621096e-07,dd2coa_c + fadh2_c --> ddcacoa_c + fad_c,b0221
ACACT4r,0.25174268519850784,1.0,-14.571280018435047,0.0005005860262234688,;3odcoa_c : 1.913801709758091e-05;accoa_c : 0.02000000000856292;coa_c : 4.999999992621096e-07;occoa_c : 4.999999992621096e-07,accoa_c + occoa_c --> 3odcoa_c + coa_c,b2342 or b3845
ECOAH1,0.25174268519850784,1.0,14.48511807374003,0.0003057048116277826,;h2o_c : 1.0;3hbcoa_c : 0.0006203383161188023;b2coa_c : 5.169866999727173e-07,3hbcoa_c --> b2coa_c + h2o_c,b2341 or b3846
HACD5,0.25174268519850784,1.0,5.690354026733305,0.00025958665115109823,;3hddcoa_c : 0.00018646596236335063;nadh_c : 0.0007084583731630467;h_c : 1.0;nad_c : 0.007084583731630468;3oddcoa_c : 1.770996265282406e-05,3oddcoa_c + h_c + nadh_c --> 3hddcoa_c + nad_c,b3846 or b2341
ACACT2r,0.25174268519850784,1.0,-7.771279018434999,0.0005005860262234688,;3ohcoa_c : 4.999999992621096e-07;btcoa_c : 4.999999992621096e-07;accoa_c : 0.02000000000856292;coa_c : 4.999999992621096e-07,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,b2342 or b3845
ECOAH4,0.25174268519850784,1.0,14.571280018435138,0.00029719094917678943,;3hdcoa_c : 0.00018646596236335063;h2o_c : 1.0;dc2coa_c : 4.999999992621096e-07,3hdcoa_c --> dc2coa_c + h2o_c,b2341 or b3846
HACD4,0.25174268519850784,1.0,5.890354026733268,0.0002546495653862157,;3hdcoa_c : 0.00018646596236335063;nadh_c : 0.0007084583731630467;h_c : 1.0;nad_c : 0.007084583731630468;3odcoa_c : 1.913801709758091e-05,3odcoa_c + h_c + nadh_c --> 3hdcoa_c + nad_c,b3846 or b2341
