,max_value,min_value,diff
AGM4PH,78.54654929302501,-3.4396136516700047,81.98616294469501
AGMHE,27.328720981565006,-27.328720981565006,54.65744196313001
AGPR,39.96833463323501,-96.67527027459002,136.64360490782502
AGMT,122.44654929302502,40.46038634833,81.98616294469502
AGPR_reverse,96.67527027459002,-39.96833463323501,136.64360490782502
AHCYSNS,79.54654929302501,-2.4396136516700047,81.98616294469501
AHGDx_reverse,88.40818233817802,-25.05744196313001,113.46562430130803
AHGDx,25.05744196313001,-88.40818233817802,113.46562430130803
AI2K,82.15744196313,-27.15744196313001,109.31488392626001
AICART,46.45744196313001,-62.857441963130015,109.31488392626002
AIRC2,144.08616294469502,-24.036903314585025,168.12306625928005
AICART_reverse,62.857441963130015,-46.45744196313001,109.31488392626002
AIRC3_reverse,65.42872098156501,10.771279018434996,54.65744196313001
AIRC3,65.42872098156501,10.771279018434996,54.65744196313001
AKGDH,117.48764368963302,-41.121802455202015,158.60944614483503
ALAALAD,66.846549293025,-15.139613651670004,81.98616294469501
ALAALAr,108.386162944695,-55.58616294469502,163.97232588939002
ALAALAr_reverse,55.58616294469502,-108.386162944695,163.97232588939002
ALAGLUE,27.928720981565007,-26.728720981565004,54.65744196313001
ALAGLUE_reverse,26.728720981565004,-27.928720981565007,54.65744196313001
ALAR,27.328720981565006,-27.328720981565006,54.65744196313001
ALAR_reverse,27.328720981565006,-27.328720981565006,54.65744196313001
ALATA_D2,53.15744196313001,-56.15744196313001,109.31488392626002
ALATA_L,59.00818233817802,-54.45744196313001,113.46562430130803
ALATA_L_reverse,54.45744196313001,-59.00818233817802,113.46562430130803
ALATA_L2,53.56744196313001,-55.747441963130015,109.31488392626002
ALCD19,91.35744196313001,-17.95744196313001,109.31488392626002
ALCD19_reverse,17.95744196313001,-91.35744196313001,109.31488392626002
ALCD2x,35.857441963130015,-73.45744196313001,109.31488392626002
ALCD2x_reverse,73.45744196313001,-35.857441963130015,109.31488392626002
ALDD19xr,90.05744196313,-19.257441963130013,109.31488392626002
ALDD19xr_reverse,13.55744196313001,-95.75744196313002,109.31488392626002
ALDD2y,106.35744196313001,-2.957441963130009,109.31488392626002
ALDD3y,103.05744196313,-6.257441963130013,109.31488392626002
ALDD4,96.45744196313001,-12.857441963130015,109.31488392626002
ALLK,66.05744196313,-43.25744196313001,109.31488392626002
ALKP,77.04654929302501,-4.939613651670005,81.98616294469501
ALLPI_reverse,27.928720981565007,-26.728720981565004,54.65744196313001
ALLPI,26.728720981565004,-27.928720981565007,54.65744196313001
ALLTAMH2,92.61511797437501,-7.186145832282001,99.801263806657
ALLTN,81.02872098156502,26.371279018434997,54.65744196313002
ALLULPE,31.228720981565004,-23.428720981565007,54.65744196313001
ALLULPE_reverse,23.428720981565007,-31.228720981565004,54.65744196313001
