,max_Df under fixed Ci ratio,min_Df under fixed Ci ratio,diff under fixed Ci ratio
ARAI,22.428720981565007,-32.228720981565004,54.65744196313001
ARGSL,52.24654929302501,-29.739613651670005,81.98616294469502
ARGSL_reverse,29.739613651670005,-52.24654929302501,81.98616294469502
ARGSS,63.595808917961655,-45.71907500829837,109.31488392626002
ARHGDx,8.067087936396653,-50.74109440178135,58.80818233817801
ARHGDx_reverse,50.74109440178135,-8.067087936396653,58.80818233817801
ASAD,29.20124669683836,-52.78491624785666,81.98616294469502
ASAD_reverse,52.78491624785666,-29.20124669683836,81.98616294469502
ASNN,81.146549293025,-0.8396136516700068,81.98616294469501
ASNS1,132.21363722942166,-4.429967678403365,136.64360490782502
ASNS2,83.29580891796165,-26.019075008298366,109.31488392626002
ASP1DC,86.99728966291502,14.524746837822995,72.47254282509203
ASPCT,76.35744196313001,-32.95744196313001,109.31488392626002
ASPK,14.86708793639665,-39.79035402673336,54.65744196313001
ASPK_reverse,39.79035402673336,-14.86708793639665,54.65744196313001
ASPO5,53.50744196313002,-55.80744196313001,109.31488392626002
ASPO3,75.05744196313,-34.25744196313001,109.31488392626002
ASPO4,38.95744196313001,-70.35744196313001,109.31488392626002
ASPO6,111.880708053436,14.442558036869983,97.43815001656601
ASPT,50.846549293025014,-31.139613651670004,81.98616294469502
ASPTA,55.90818233817802,-57.55744196313001,113.46562430130803
ASPTA_reverse,57.55744196313001,-55.90818233817802,113.46562430130803
ASR,170.868334633235,34.22472972540998,136.64360490782502
ATHRDHr,5.8903540267333625,-48.76708793639665,54.65744196313001
AST,74.05744196313,-35.25744196313001,109.31488392626002
ATHRDHr_reverse,48.76708793639665,-5.8903540267333625,54.65744196313001
ATPHs,119.746549293025,43.698753303161645,76.04779598986335
ATPM,71.85619526629165,44.527474284726644,27.328720981565006
BETALDHx,74.76708793639665,20.109645973266637,54.65744196313001
BETALDHy,61.89035402673336,7.232912063603351,54.65744196313001
BGLA1,83.94654929302502,1.9603863483299975,81.98616294469502
BPNT,75.04654929302501,-1.0012466968383613,76.04779598986337
BUTCT,50.58744196313001,-58.72744196313002,109.31488392626002
CAT,210.33961365167,140.23018461666896,70.10942903500103
CBMD,72.99728966291502,0.5247468378229954,72.47254282509203
CBMKr,-9.486379882991358,-81.95892270808338,72.47254282509202
CBMKr_reverse,81.95892270808338,9.486379882991358,72.47254282509202
CBPS,105.47527027342439,-21.654714514797625,127.129984788222
CDPMEK,41.16708793639665,-13.490354026733364,54.65744196313001
CDPPH,90.94654929302502,8.960386348329997,81.98616294469502
CHORM,48.42872098156501,-6.228720981565004,54.65744196313001
CHOLID,29.767087936396656,-24.890354026733355,54.65744196313001
CHORS,112.84654929302502,30.86038634832999,81.98616294469502
CHRPL,152.846549293025,70.86038634833,81.986162944695
CITL,60.14654929302501,-21.839613651670007,81.98616294469502
CINNDO,387.62451278714434,317.51508375214325,70.10942903500109
CMPN,77.24654929302501,-4.739613651670005,81.98616294469502
CPPPGO,441.50001710467603,335.76038634575093,105.7396307589251
CRNCAR,24.728720981565004,-29.928720981565007,54.65744196313001
CRNCAR_reverse,29.928720981565007,-24.728720981565004,54.65744196313001
CS,92.15744196313,-17.15744196313001,109.31488392626001
CSND,91.54654929302501,9.560386348329992,81.98616294469502
CTECOAI6,27.328720981565006,-27.328720981565006,54.65744196313001
CTECOAI6_reverse,27.328720981565006,-27.328720981565006,54.65744196313001
CTECOAI7,27.328720981565006,-27.328720981565006,54.65744196313001
CTECOAI7_reverse,27.328720981565006,-27.328720981565006,54.65744196313001
CTECOAI8,27.328720981565006,-27.328720981565006,54.65744196313001
